#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.43865
19    9    0.01486 
19    10    0.17995 
19    11    -0.23380 
19    12    0.00025 
19    13    -0.01317 
19    14    0.12724 
19    15    -0.26239 
19    16    0.00014 
19    17    -0.04262 
19    18    0.17802 
19    19    -0.29397 
19    20    0.00038 
19    21    -0.01630 
19    22    0.17945 
19    23    -0.23309 
19    24    0.00014 
19    25    -0.17316 
19    26    -0.37607 
19    27    -0.19084 
19    28    0.17316 
19    29    0.37675 
19    30    0.19165 
MO:20   0.14834
20    1    0.03054 
20    2    -0.26431 
20    3    -0.19612 
20    4    0.00009 
20    5    0.00431 
20    6    -0.23261 
20    7    -0.14483 
20    8    0.00005 
20    9    -0.03563 
20    10    -0.29250 
20    11    -0.14316 
20    12    -0.00018 
20    13    -0.03132 
20    14    -0.26334 
20    15    -0.19651 
20    16    -0.00002 
20    17    -0.00298 
20    18    -0.23211 
20    19    -0.14590 
20    20    0.00009 
20    21    0.03455 
20    22    -0.29270 
20    23    -0.14406 
20    24    0.00010 
20    25    -0.32513 
20    26    -0.01283 
20    27    0.32012 
20    28    0.32566 
20    29    0.01273 
20    30    -0.31940 
MO:21   0.14876
21    1    -0.30131 
21    2    0.00798 
21    3    0.01890 
21    4    -0.00011 
21    5    0.30003 
21    6    0.00687 
21    7    -0.00747 
21    8    0.00035 
21    9    -0.30123 
21    10    -0.01542 
21    11    0.00419 
21    12    -0.00013 
21    13    0.30171 
21    14    0.00811 
21    15    0.01835 
21    16    0.00019 
21    17    -0.30065 
21    18    0.00705 
21    19    -0.00782 
21    20    -0.00011 
21    21    0.30061 
21    22    -0.01506 
21    23    0.00496 
21    24    0.00000 
21    25    0.28086 
21    26    -0.26942 
21    27    0.27589 
21    28    -0.28077 
21    29    0.27029 
21    30    -0.27504 
MO:22   0.15409
22    1    -0.14715 
22    2    0.10376 
22    3    0.18035 
22    4    0.00002 
22    5    -0.14743 
22    6    -0.10397 
22    7    0.18058 
22    8    -0.00033 
22    9    -0.14715 
22    10    -0.20776 
22    11    0.00037 
22    12    -0.00002 
22    13    -0.14771 
22    14    -0.10376 
22    15    -0.17970 
22    16    -0.00008 
22    17    -0.14681 
22    18    0.10416 
22    19    -0.17983 
22    20    0.00030 
22    21    -0.14771 
22    22    0.20784 
22    23    0.00014 
22    24    -0.00008 
22    25    0.31901 
22    26    0.31952 
22    27    0.31868 
22    28    0.31891 
22    29    0.31843 
22    30    0.31926 
MO:23   0.16900
23    1    0.41118 
23    2    0.00846 
23    3    0.00342 
23    4    -0.00001 
23    5    -0.21378 
23    6    0.20029 
23    7    0.11214 
23    8    -0.00018 
23    9    -0.19760 
23    10    0.00291 
23    11    -0.23566 
23    12    0.00020 
23    13    0.41078 
23    14    -0.00872 
23    15    -0.00320 
23    16    0.00011 
23    17    -0.21288 
23    18    -0.20112 
