#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -9.79375
19    19    -0.25869 
19    20    0.00022 
19    21    0.00761 
19    22    -0.01352 
19    23    -0.14768 
19    24    0.23053 
19    25    -0.00032 
19    26    -0.00403 
19    27    0.00709 
19    28    0.14545 
19    29    -0.28280 
19    30    0.00024 
19    31    -0.14258 
19    32    0.30562 
19    33    -0.16299 
19    34    -0.14296 
19    35    0.30562 
19    36    -0.16265 
MO:20   -0.18122
20    1    0.00000 
20    2    -0.00001 
20    3    0.00005 
20    4    0.00001 
20    5    0.17274 
20    6    0.00006 
20    7    -0.00028 
20    8    -0.00021 
20    9    0.00039 
20    10    0.52190 
20    11    -0.00002 
20    12    0.00007 
20    13    -0.00027 
20    14    0.00006 
20    15    0.34911 
20    16    -0.00001 
20    17    0.00006 
20    18    0.00009 
20    19    -0.00004 
20    20    -0.17314 
20    21    -0.00001 
20    22    0.00002 
20    23    0.00009 
20    24    -0.00054 
20    25    -0.52183 
20    26    0.00002 
20    27    -0.00007 
20    28    -0.00002 
20    29    -0.00015 
20    30    -0.34883 
20    31    0.00006 
20    32    0.00001 
20    33    -0.00004 
20    34    0.00010 
20    35    -0.00009 
20    36    0.00007 
MO:21   -0.18117
21    1    -0.00001 
21    2    0.00006 
21    3    0.00011 
21    4    0.00022 
21    5    0.50281 
21    6    0.00002 
21    7    -0.00007 
21    8    -0.00010 
21    9    0.00007 
21    10    0.10136 
21    11    0.00003 
21    12    -0.00010 
21    13    0.00033 
21    14    -0.00021 
21    15    -0.40108 
21    16    -0.00002 
21    17    0.00008 
21    18    0.00027 
21    19    -0.00025 
21    20    -0.50279 
21    21    -0.00000 
21    22    0.00002 
21    23    0.00002 
21    24    -0.00013 
21    25    -0.10189 
21    26    -0.00002 
21    27    0.00010 
21    28    0.00000 
21    29    0.00037 
21    30    0.40123 
21    31    -0.00000 
21    32    -0.00005 
21    33    0.00008 
21    34    -0.00000 
21    35    -0.00005 
21    36    -0.00001 
MO:22   0.04096
22    1    -0.00002 
22    2    0.00010 
22    3    0.00004 
22    4    0.00031 
22    5    0.61327 
22    6    -0.00002 
22    7    0.00012 
22    8    0.00009 
22    9    -0.00003 
22    10    -0.09945 
22    11    0.00003 
22    12    -0.00014 
22    13    0.00037 
22    14    -0.00016 
22    15    -0.51338 
22    16    0.00002 
22    17    -0.00014 
22    18    -0.00033 
22    19    0.00030 
22    20    0.61325 
22    21    -0.00003 
22    22    0.00013 
22    23    0.00006 
22    24    -0.00015 
22    25    -0.10008 
22    26    0.00004 
22    27    -0.00020 
22    28    -0.00000 
22    29    -0.00043 
22    30    -0.51354 
22    31    -0.00007 
22    32    -0.00010 
22    33    0.00004 
22    34    0.00005 
22    35    -0.00003 
22    36    0.00011 
MO:23   0.04102
23    1    -0.00004 
23    2    0.00020 
23    3    0.00011 
23    4    -0.00005 
23    5    -0.23863 
23    6    0.00010 
23    7    -0.00051 
23    8    -0.00027 
23    9    0.00048 
23    10    0.65055 
23    11    -0.00001 
23    12    0.00002 
23    13    0.00023 
23    14    -0.00030 
23    15    -0.41189 
23    16    -0.00003 
23    17    0.00015 
23    18    0.00010 
23    19    -0.00013 
23    20    -0.23913 
23    21    0.00001 
23    22    -0.00008 
23    23    -0.00018 
23    24    0.00062 
23    25    0.65050 
23    26    0.00002 
23    27    -0.00010 
23    28    0.00001 
23    29    -0.00021 
23    30    -0.41153 
23    31    -0.00005 
23    32    0.00026 
23    33    -0.00001 
23    34    -0.00015 
23    35    -0.00003 
23    36    0.00002 
MO:24   0.18971
24    1    -0.00000 
24    2    0.00003 
24    3    -0.00030 
24    4    0.00027 
24    5    0.52228 
24    6    -0.00012 
24    7    0.00069 
24    8    0.00026 
24    9    -0.00054 
24    10    -0.52227 
24    11    0.00000 
24    12    0.00001 
24    13    -0.00022 
24    14    0.00037 
24    15    0.52210 
24    16    -0.00007 
24    17    0.00038 
24    18    0.00024 
24    19    -0.00011 
24    20    -0.52203 
24    21    -0.00000 
24    22    0.00000 
24    23    -0.00033 
24    24    0.00052 
24    25    0.52218 
24    26    -0.00001 
24    27    0.00002 
24    28    -0.00005 
24    29    -0.00031 
24    30    -0.52226 
24    31    -0.00017 
24    32    -0.00052 
24    33    -0.00008 
24    34    -0.00037 
24    35    -0.00022 
24    36    -0.00019 
MO:25   0.26856
25    1    0.05341 
25    2    -0.32715 
25    3    0.15370 
25    4    0.26646 
25    5    0.00015 
25    6    0.05334 
25    7    -0.32668 
25    8    -0.15390 
25    9    0.26666 
25    10    -0.00066 
25    11    0.05344 
25    12    -0.32732 
25    13    -0.30788 
25    14    -0.00012 
25    15    0.00009 
25    16    0.05341 
25    17    -0.32712 
25    18    -0.15398 
25    19    -0.26679 
25    20    -0.00025 
25    21    0.05340 
25    22    -0.32704 
25    23    0.15419 
25    24    -0.26695 
25    25    0.00055 
25    26    0.05339 
25    27    -0.32705 
25    28    0.30776 
25    29    -0.00023 
25    30    -0.00019 
25    31    0.50717 
25    32    0.50717 
25    33    0.50751 
25    34    0.50757 
25    35    0.50773 
25    36    0.50727 
MO:26   0.32241
26    1    -0.01581 
26    2    0.10004 
26    3    0.09625 
26    4    -0.35214 
26    5    0.00008 
26    6    -0.03325 
26    7    0.21051 
26    8    0.28476 
26    9    -0.47024 
26    10    0.00061 
26    11    -0.01744 
26    12    0.11060 
26    13    0.29293 
26    14    -0.24935 
26    15    0.00028 
26    16    0.01525 
26    17    -0.09676 
26    18    0.09628 
26    19    -0.35317 
26    20    0.00013 
26    21    0.03331 
26    22    -0.21086 
26    23    0.28359 
26    24    -0.47082 
26    25    0.00059 
26    26    0.01783 
26    27    -0.11283 
26    28    0.29152 
26    29    -0.24839 
26    30    0.00017 
26    31    -0.30787 
26    32    -0.65693 
26    33    -0.34920 
26    34    0.30687 
26    35    0.65695 
26    36    0.34912 
MO:27   0.32252
27    1    0.02932 
27    2    -0.18573 
27    3    0.36272 
27    4    0.35227 
27    5    -0.00016 
27    6    0.00153 
27    7    -0.00954 
27    8    0.24410 
27    9    0.16371 
27    10    -0.00007 
27    11    -0.02839 
27    12    0.17966 
27    13    0.46552 
27    14    0.15547 
27    15    0.00025 
27    16    -0.02950 
27    17    0.18676 
27    18    0.36123 
